,mcap_cr
GFSTEELS,37.61
GHCL,3879.62
GICL,438.08
GENUSPOWER,7134.05
GICRE,62833.83
GILLANDERS,163.67
GHCLTEXTIL,692.14
GINNIFILA,308.25
GKENERGY,1990.04
GFLLIMITED,461.84
GILLETTE,25377.37
GIPCL,1968.33
GKWLIMITED,923.91
GKSL,802.55
GLOBALVECT,211.22
GLOBE,101.34
GLFL,15.55
GLAXO,38611.02
GLENMARK,58972.03
GMBREW,2265.39
GLAND,26566.97
GLOBAL,468.85
GLOBECIVIL,243.95
GMDCLTD,18098.81
GLOSTERLTD,548.64
GMMPFAUDLR,3693.16
GMRAIRPORT,89508.44
GOCOLORS,1375.8
GLOBALE,10.85
GLOBUSSPR,2487.69
GLOTTIS,376.82
GNA,1527.91
GODAVARIB,1547.31
GOACARBON,265.23
GNFC,5634.44
GOCLCORP,1117.3
GMRP&UI,7825.01
GODREJPROP,45096.82
GODREJCP,102570.04
GODREJIND,26501.49
GOKEX,4126.75
GODIGIT,29970.01
GODREJAGRO,10635.48
GODFRYPHLP,28763.04
GOKUL,391.33
GOLDIAM,3183.72
GPPL,6967.6
GOKULAGRO,5263.17
GRAVITA,9517.6
GOLDENTOBC,46.59
GPIL,16336.7
GOLDTECH,195.26
GRANULES,14375.94
GOODLUCK,3061.01
GOYALALUM,80.22
GRAPHITE,11020.19
GOPAL,3220.29
GPTINFRA,1269.96
GPTHEALTH,975.22
GRINDWELL,15104.42
GRASIM,171632.05
GROWW,100104.87
GREENLAM,5229.74
GREAVESCOT,2981.48
GROBTEA,98.33
GRPLTD,951.15
GREENPANEL,2192.44
GRMOVER,3156.85
GREENPOWER,1023.77
GREENPLY,2262.91
GRINFRA,8181.25
GSPL,13280.23
GRWRHITECH,7933.39
GSFC,5858.42
GTL,95.32
GTECJAINX,20.86
GSLSU,232.13
GRSE,24474.6
GTPL,642.05
GTLINFRA,1268.1
GUJTHEM,2819.67
GSS,26.52
GUFICBIO,2828.75
GUJALKALI,4519.79
GUJGASLTD,23081.72
GUJAPOLLO,556.28
GULPOLY,885.56
GULFPETRO,140.16
GVKPIL,402.7
GVPIL,2784.9
GVPTECH,96.78
GULFOILLUB,4298.79
GUJRAFFIA,
GVT&D,88617.71
HAL,243072.97
HARIOMPIPE,938.75
HARDWYN,940.21
HARRMALAYA,303.35
HATHWAY,1647.97
HATSUN,19827.94
HALEOSLABS,370.26
HAPPYFORGE,11402.25
HCLTECH,367589.93
HCG,7402.55
HARSHA,2991.91
HAVISHA,34.75
HAPPSTMNDS,5898.82
HDFCBANK,1145389.24
HBSL,33.38
HBLENGINE,17341.32
HDIL,96.6
HDFCLIFE,127720.47
HCL-INSYS,356.86
HEMIPROP,3620.8
HEG,9209.85
HAVELLS,77219.86
HEIDELBERG,3367.31
HDBFS,50248.35
HERITGFOOD,2798.94
HEADSUP,14.09
HDFCAMC,96587.11
HECPROJECT,110.79
HERANBA,679.83
HFCL,10174.22
HCC,3727.5
HESTERBIO,1146.64
HGM,70.99
HEROMOTOCO,101345.47
HGINFRA,3050.03
HEXT,26567.49
HEXATRADEX,886.53
HIKAL,1930.41
HGS,1647.42
HILTON,52.97
HILINFRA,330.14
HINDCOMPOS,561.74
HINDCON,89.38
HINDPETRO,67909.45
HINDWAREAP,1512.39
HIMATSEIDE,921.06
HINDALCO,187869.43
HINDCOPPER,43450.64
HINDOILEXP,1616.81
HINDUNILVR,482253.14
HISARMETAL,74.52
HINDZINC,206047.68
HLEGLAS,1926.33
HMT,6770.61
HONASA,9147.71
HPIL,126.12
HIRECT,2466.39
HITECHGEAR,1089.96
HITECH,1460.36
HMAAGRO,1162.19
HNDFDS,5584.28
HMVL,449.62
HOMEFIRST,9447.13
HSCL,22261.13
HITECHCORP,232.9
HLVLTD,435.11
HYBRIDFIN,48.6
HPAL,272.12
HONAUT,24078.09
HPL,1730.65
ICICIGI,85885.8
HYUNDAI,151742.05
HTMEDIA,456.57
HUHTAMAKI,1160.02
ICIL,4451.27
ICEMAKE,1116.26
HUBTOWN,2627.26
ICICIBANK,875281.28
IDEA,94258.44
ICDSLTD,54.61
ICICIPRULI,76959.05
HUDCO,33053.37
ICICIAMC,132970.37
ICRA,4941.67
IBULLSLTD,2143.79
IDBI,72467.47
IDFCFIRSTB,51813.68
IEX,10260.75
IFBAGRO,679.54
IDEAFORGE,1720.65
IGCL,338.88
IFGLEXPOR,986.4
IGARASHI,938.11
IFCI,13643.05
IFBIND,3751.21
IGIL,13777.25
IIFL,19284.09
IGPL,1110.16
IL&FSENGG,296.46
IIFLCAPS,7946.74
IITL,303.56
