Date,close,ema20,ema50,regime
2022-09-28,16858.599609375,17471.373922186624,17313.583350799374,CAUTION
2022-09-29,16818.099609375,17409.157320966468,17294.152615841555,CAUTION
2022-09-30,17094.349609375,17379.175634148232,17286.31720382326,CAUTION
2022-10-03,16887.349609375,17332.335060360307,17270.671415805682,CAUTION
2022-10-04,17274.30078125,17326.807986159325,17270.813743862323,CAUTION
2022-10-06,17331.80078125,17327.283490453676,17273.20539238733,BULLISH
2022-10-07,17314.650390625,17326.08033808904,17274.83068643587,CAUTION
2022-10-10,17241.0,17317.977448747224,17273.503992850154,CAUTION
2022-10-11,16983.55078125,17286.127289937966,17262.133278669757,CAUTION
2022-10-12,17123.599609375,17270.648463217683,17256.70058575624,CAUTION
2022-10-13,17014.349609375,17246.239048566,17247.196625898152,BEARISH
2022-10-14,17185.69921875,17240.473350488286,17244.784962872734,BEARISH
2022-10-17,17311.80078125,17247.266439132258,17247.41303418165,CAUTION
2022-10-18,17486.94921875,17270.093370524424,17256.806610047075,BULLISH
2022-10-19,17512.25,17293.155906664953,17266.823997888365,BULLISH
2022-10-20,17563.94921875,17318.945745911147,17278.47596733392,BULLISH
2022-10-21,17576.30078125,17343.455749276753,17290.155371801222,BULLISH
2022-10-24,17730.75,17380.3409160123,17307.433592514903,BULLISH
2022-10-25,17656.349609375,17406.62745823732,17321.11657356824,BULLISH
2022-10-27,17736.94921875,17438.08667352424,17337.42373612439,BULLISH
2022-10-28,17786.80078125,17471.297540926695,17355.046365345002,BULLISH
2022-10-31,18012.19921875,17522.811986433677,17380.817065478535,BULLISH
2022-11-01,18145.400390625,17582.106120166183,17410.8007252882,BULLISH
2022-11-02,18082.849609375,17629.795976281308,17437.155583487685,BULLISH
2022-11-03,18052.69921875,17670.07247556404,17461.294549576403,BULLISH
2022-11-04,18117.150390625,17712.651324617465,17487.01438648027,BULLISH
2022-11-07,18202.80078125,17759.332225249134,17515.08444117712,BULLISH
2022-11-09,18157.0,17797.205346653976,17540.257600346646,BULLISH
2022-11-10,18028.19921875,17819.204763044076,17559.39256577423,BULLISH
2022-11-11,18349.69921875,17869.72804453988,17590.384983537988,BULLISH
2022-11-14,18329.150390625,17913.482553690843,17619.356175972775,BULLISH
2022-11-15,18403.400390625,17960.14139530362,17650.10300791992,BULLISH
2022-11-16,18409.650390625,18002.95177581042,17679.88917979071,BULLISH
2022-11-17,18343.900390625,18035.423072459427,17705.928835117546,BULLISH
2022-11-18,18307.650390625,18061.34948371329,17729.525758862936,BULLISH
2022-11-21,18159.94921875,18070.739934669167,17746.405110231055,BULLISH
2022-11-22,18244.19921875,18087.259866486387,17765.926447820035,BULLISH
2022-11-23,18267.25,18104.401783963873,17785.586194964348,BULLISH
2022-11-24,18484.099609375,18140.563481622074,17812.97887788241,BULLISH
2022-11-25,18512.75,18176.009816705686,17840.420882671337,BULLISH
2022-11-28,18562.75,18212.842215114666,17868.747514723444,BULLISH
2022-11-29,18618.05078125,18251.433507127556,17898.131956548015,BULLISH
2022-11-30,18758.349609375,18299.711231151123,17931.865982149076,BULLISH
2022-12-01,18812.5,18348.548256755777,17966.40064951578,BULLISH
2022-12-02,18696.099609375,18381.648385576656,17995.016295000456,BULLISH
2022-12-05,18701.05078125,18412.067661355068,18022.7039219122,BULLISH
2022-12-06,18642.75,18434.03740789268,18047.019454386234,BULLISH
2022-12-07,18560.5,18446.081464283856,18067.155946371087,BULLISH
2022-12-08,18609.349609375,18461.630811435396,18088.41844295948,BULLISH
2022-12-09,18496.599609375,18464.961173143933,18104.425547524796,BULLISH
2022-12-12,18497.150390625,18468.026812904034,18119.82652176402,BULLISH
2022-12-13,18608.0,18481.35759262746,18138.970579734054,BULLISH
2022-12-14,18660.30078125,18498.399801067702,18159.41490136213,BULLISH
2022-12-15,18414.900390625,18490.447476263635,18169.433940156756,CAUTION
2022-12-16,18269.0,18469.357240429003,18173.338491523158,CAUTION
2022-12-19,18420.44921875,18464.69933360243,18183.02910827715,CAUTION
2022-12-20,18385.30078125,18457.137566711725,18190.961330746675,CAUTION
2022-12-21,18199.099609375,18432.562523155844,18191.28047892818,CAUTION
2022-12-22,18127.349609375,18403.494626605287,18188.773386004526,CAUTION
2022-12-23,17806.80078125,18346.666641333355,18173.794068171017,CAUTION
2022-12-26,18014.599609375,18315.041209718274,18167.551148218234,CAUTION
2022-12-27,18132.30078125,18297.637359387965,18166.168780886146,CAUTION
2022-12-28,18122.5,18280.957610874826,18164.456279674927,CAUTION
2022-12-29,18191.0,18272.39021936294,18165.497209883753,CAUTION
2022-12-30,18105.30078125,18256.47693954266,18163.136565623605,CAUTION
2023-01-02,18197.44921875,18250.85525184812,18164.48215986386,CAUTION
2023-01-03,18232.55078125,18249.111968934012,18167.15151756528,CAUTION
2023-01-04,18042.94921875,18229.477421297437,18162.280839180366,CAUTION
2023-01-05,17992.150390625,18206.87484694768,18155.609056884077,CAUTION
2023-01-06,17859.44921875,18173.786691881236,18143.9949455847,CAUTION
2023-01-09,18101.19921875,18166.87359920207,18142.316681787262,CAUTION
2023-01-10,17914.150390625,18142.80472219473,18133.368984094624,CAUTION
2023-01-11,17895.69921875,18119.270864723803,18124.048601139933,BEARISH
2023-01-12,17858.19921875,18094.406898440586,18113.623135163856,BEARISH
2023-01-13,17956.599609375,18081.282394720052,18107.465349838803,BEARISH
2023-01-16,17894.849609375,18063.526891353857,18099.12747766375,BEARISH
2023-01-17,18053.30078125,18062.55297610587,18097.330352314195,BEARISH
2023-01-18,18165.349609375,18072.34313165531,18099.997774159718,CAUTION
2023-01-19,18107.849609375,18075.72470096195,18100.3056892662,CAUTION
2023-01-20,18027.650390625,18071.146195215573,18097.456461868504,BEARISH
2023-01-23,18118.55078125,18075.660917695044,18098.283690079545,CAUTION
2023-01-24,18118.30078125,18079.72185708123,18099.068674047016,CAUTION
2023-01-25,17891.94921875,18061.83874866873,18090.94634246674,BEARISH
2023-01-27,17604.349609375,18018.26835445028,18071.864117639612,BEARISH
2023-01-30,17648.94921875,17983.095103431206,18055.27921964394,BEARISH
2023-01-31,17662.150390625,17952.528940306805,18039.86240281967,BEARISH
2023-02-01,17616.30078125,17920.507210872824,18023.252143150272,BEARISH
2023-02-02,17610.400390625,17890.97322799208,18007.06187834536,BEARISH
2023-02-03,17854.05078125,17887.456804492835,18001.061443165152,BEARISH
2023-02-06,17764.599609375,17875.756119243517,17991.78843007534,BEARISH
2023-02-07,17721.5,17861.065060267945,17981.188883797877,BEARISH
2023-02-08,17871.69921875,17862.077837266235,17976.89517144306,CAUTION
2023-02-09,17893.44921875,17865.065587883735,17973.622781141374,CAUTION
2023-02-10,17856.5,17864.249817609092,17969.029730900536,BEARISH
2023-02-13,17770.900390625,17855.35939599156,17961.259952850516,BEARISH
2023-02-14,17929.849609375,17862.453702028077,17960.028174675004,CAUTION
2023-02-15,18015.849609375,17877.06283606112,17962.217250545593,CAUTION
2023-02-16,18035.849609375,17892.185385900535,17965.1047940291,CAUTION
2023-02-17,17944.19921875,17897.13908426715,17964.284967547566,CAUTION
2023-02-20,17844.599609375,17892.13532475361,17959.59142408982,BEARISH
2023-02-21,17826.69921875,17885.903314658026,17954.379965056887,BEARISH
2023-02-22,17554.30078125,17854.32212100012,17938.690585299755,BEARISH
2023-02-23,17511.25,17821.648585666775,17921.928209405647,BEARISH
2023-02-24,17465.80078125,17787.75831857946,17904.040859281897,BEARISH
2023-02-27,17392.69921875,17750.133642405228,17883.988245927707,BEARISH
2023-02-28,17303.94921875,17707.6398877714,17861.241617410935,BEARISH
2023-03-01,17450.900390625,17683.18850709079,17845.149804595803,BEARISH
2023-03-02,17321.900390625,17648.780115046426,17824.630219734205,BEARISH
2023-03-03,17594.349609375,17643.59625736343,17815.599607563254,BEARISH
2023-03-06,17711.44921875,17650.058444162154,17811.515278590185,CAUTION
2023-03-08,17754.400390625,17659.995772396713,17809.275479062137,CAUTION
2023-03-09,17589.599609375,17653.291375918456,17800.660739074407,BEARISH
2023-03-10,17412.900390625,17630.3969963667,17785.45445089992,BEARISH
2023-03-13,17154.30078125,17585.05449968892,17760.703326599923,BEARISH
2023-03-14,17043.30078125,17533.45890745664,17732.56989344895,BEARISH
2023-03-15,16972.150390625,17480.000953472674,17702.749520789184,BEARISH
2023-03-16,16985.599609375,17432.91511117766,17674.625994851373,BEARISH
2023-03-17,17100.05078125,17401.213746422643,17652.09363353367,BEARISH
2023-03-20,16988.400390625,17361.898188727628,17626.066447537254,BEARISH
2023-03-21,17107.5,17337.669789801188,17605.730508418146,BEARISH
2023-03-22,17151.900390625,17319.977466070122,17587.933248896847,BEARISH
2023-03-23,17076.900390625,17296.827268408684,17567.892744650893,BEARISH
2023-03-24,16945.05078125,17263.32474582214,17543.467569615565,BEARISH
2023-03-27,16985.69921875,17236.884219434316,17521.59430095417,BEARISH
2023-03-28,16951.69921875,17209.723743178667,17499.245474201067,BEARISH
2023-03-29,17080.69921875,17197.43569323308,17482.83189555593,BEARISH
2023-03-31,17359.75,17212.894198639453,17478.00515455374,CAUTION
2023-04-03,17398.05078125,17230.528158888075,17474.869688933984,CAUTION
2023-04-05,17557.05078125,17261.625551493973,17478.092476867947,CAUTION
2023-04-06,17599.150390625,17293.770774268356,17482.83984603489,CAUTION
2023-04-10,17624.05078125,17325.226013028514,17488.377529768815,CAUTION
2023-04-11,17722.30078125,17363.042657621038,17497.550990611217,CAUTION
2023-04-12,17812.400390625,17405.838632192845,17509.898025905877,CAUTION
2023-04-13,17828.0,17446.04447674591,17522.372613125255,CAUTION
2023-04-17,17706.849609375,17470.883060805823,17529.607005135047,CAUTION
2023-04-18,17660.150390625,17488.908520788602,17534.726353585636,CAUTION
2023-04-19,17618.75,17501.27437595159,17538.021398543064,CAUTION
2023-04-20,17624.44921875,17513.00531336096,17541.410724825688,CAUTION
2023-04-21,17624.05078125,17523.581072207537,17544.65151135213,CAUTION
2023-04-24,17743.400390625,17544.51624539015,17552.445585049107,CAUTION
2023-04-25,17769.25,17565.9194601149,17560.94771896875,BULLISH
2023-04-26,17813.599609375,17589.508045758717,17570.855636239583,BULLISH
2023-04-27,17915.05078125,17620.512115805504,17584.353485063522,BULLISH
2023-04-28,18065.0,17662.8442952526,17603.20236800221,BULLISH
2023-05-02,18147.650390625,17709.016304335684,17624.553270850163,BULLISH
2023-05-03,18089.849609375,17745.286142910856,17642.80018608643,BULLISH
2023-05-04,18255.80078125,17793.90658465744,17666.839425112456,BULLISH
2023-05-05,18069.0,17820.10595754721,17682.610428049225,BULLISH
2023-05-08,18264.400390625,17862.419713078427,17705.425720699255,BULLISH
2023-05-09,18265.94921875,17900.851094570957,17727.407034348304,BULLISH
2023-05-10,18315.099609375,17940.303334076103,17750.45380199641,BULLISH
2023-05-11,18297.0,17974.274445116473,17771.886986231846,BULLISH
2023-05-12,18314.80078125,18006.70552474824,17793.17772329138,BULLISH
2023-05-15,18398.849609375,18044.05258042698,17816.929561961326,BULLISH
2023-05-16,18286.5,18067.142810862504,17835.34408894324,BULLISH
2023-05-17,18181.75,18078.05778125655,17848.92863447488,BULLISH
2023-05-18,18129.94921875,18082.999822922593,17859.94904954449,BULLISH
2023-05-19,18203.400390625,18094.466543656155,17873.417729586865,BULLISH
2023-05-22,18314.400390625,18115.412624319855,17890.711167274636,BULLISH
2023-05-23,18348.0,18137.56380295606,17908.64406267563,BULLISH
2023-05-24,18285.400390625,18151.64347797215,17923.41882063443,BULLISH
2023-05-25,18321.150390625,18167.786993462898,17939.01613710465,BULLISH
2023-05-26,18499.349609375,18199.364385454526,17960.989998762307,BULLISH
2023-05-29,18598.650390625,18237.39162404219,17985.996288639275,BULLISH
2023-05-30,18633.849609375,18275.14952740722,18011.402301217146,BULLISH
2023-05-31,18534.400390625,18299.84008580891,18031.912030213534,BULLISH
2023-06-01,18487.75,18317.736268112825,18049.788029028692,BULLISH
2023-06-02,18534.099609375,18338.342300613986,18068.780640022665,BULLISH
2023-06-05,18593.849609375,18362.676330019796,18089.371579997267,BULLISH
2023-06-06,18599.0,18385.183346208385,18109.35700823267,BULLISH
2023-06-07,18726.400390625,18417.680207581394,18133.554787934332,BULLISH
2023-06-08,18634.55078125,18438.334547930786,18153.201689632988,BULLISH
