,mcap_cr
DATAMATICS,4169.36
DANGEE,47.27
DCI,521.36
DBCORP,3550.3
DBSTOCKBRO,91.46
DBOL,748.06
DBEIL,281.63
DCMSRIND,324.44
DECCANCE,840.6
DDEVPLSTIK,2227.02
DCMFINSERV,10.35
DCAL,2315.45
DEVX,315.57
DCMNVL,211.2
DEEPAKFERT,12544.92
DEN,1192.39
DCM,116.1
DELPHIFX,3412.37
DCBBANK,5328.31
DEEPINDS,2808.64
DELTAMAGNT,58.36
DCMSHRIRAM,17543.98
DCXINDIA,1848.41
DEEPAKNTR,18790.87
DEVIT,290.13
DENTA,654.31
DCW,1422.45
DHUNINV,463.29
DEEDEV,2084.48
DHRUV,60.43
DELTACORP,1494.06
DENORA,375.98
DIGISPICE,333.86
DGCONTENT,139.43
DHANUKA,4340.59
DHANBANK,899.3
DHARAN,71.55
DIGIDRIVE,71.45
DEVYANI,11889.24
DELHIVERY,32012.45
DISHTV,468.85
DHAMPURSUG,889.29
DHARMAJ,828.47
DIAMONDYD,2288.02
DIAMINESQ,245.42
DIVISLAB,155471.67
DICIND,447.2
DIXON,60227.92
DIGJAMLMTD,79.0
DIACABS,6608.74
DIFFNKG,1043.73
DIGITIDE,1148.14
DLF,129320.17
DNAMEDIA,32.61
DMCC,522.67
DODLA,6218.89
DOLATALGO,1252.68
DIVGIITTS,1938.35
DMART,284825.98
DLINKINDIA,1421.04
DONEAR,456.89
DOLPHIN,1612.38
DJML,278.05
DRCSYSTEMS,215.4
DOLLAR,1428.34
DREAMFOLKS,360.1
DPABHUSHAN,2292.15
EFCIL,2596.44
DRREDDY,101351.77
DREDGECORP,2364.6
DPSCLTD,751.77
DYCL,1311.73
EASTSILK,31.8
DOMS,14303.6
DSSL,1122.88
DTIL,128.7
DVL,746.4
E2E,4491.53
DPWIRES,216.48
DYNPRO,268.07
EASEMYTRIP,2363.95
DUCON,100.07
DYNAMATECH,6374.96
EBGNG,4195.62
ECOSMOBLTY,712.32
EIHAHOTELS,1783.3
EDELWEISS,10033.12
EICHERMOT,182405.23
ECLERX,13483.68
EKC,1199.02
EIHOTEL,18023.0
DWARKESH,835.89
EIEL,2951.01
EIMCOELECO,896.41
EIDPARRY,14370.27
ELGIRUBCO,199.7
ELLEN,2788.83
ELECON,8710.08
EIFFL,560.5
ELECTHERM,763.13
EMMVEE,15061.27
ELGIEQUIP,15148.52
ELIN,563.16
ELDEHSG,773.82
ELECTCAST,4948.38
EMBDL,6083.93
EMIL,3643.57
ENDURANCE,31675.87
ENERGYDEV,68.01
EMKAY,536.17
EMAMILTD,17387.44
EMMBI,135.07
EMAMIREAL,264.98
EPIGRAL,3811.54
EPACKPEB,1462.98
ENIL,477.47
EMCURE,29340.88
ENTERO,5434.95
EMAMIPAP,387.56
EPACK,2077.09
ENRIN,93044.11
ENGINERSIN,11280.72
EMUDHRA,3373.68
ESSENTIA,128.98
EUROBOND,363.8
EMSLIMITED,1597.52
ERIS,18455.3
ETERNAL,211146.64
ESTER,773.57
ESAFSFB,1211.29
EPL,6844.66
EUROPRATIK,2279.98
ESABINDIA,8049.32
EVERESTIND,545.36
EQUITASBNK,6195.49
ETHOSLTD,5954.66
EQUIPPP,151.14
EUREKAFORB,8965.44
ESSARSHPNG,485.62
EXICOM,1182.03
ESCORTS,31290.01
EUROTEXIND,14.81
EVEREADY,2052.11
EXIDEIND,25443.27
FABTECH,640.49
FAZE3Q,1009.55
EXCELINDUS,1107.79
EXCELSOFT,872.11
EXPLEOSOL,1118.74
FCL,2471.68
EXXARO,284.11
FINCABLES,12199.21
FACT,50067.19
FCSSOFT,232.5
FDC,5425.65
FAIRCHEMOR,641.71
FEDFINA,5100.11
FEL,33.41
FIEMIND,5225.24
FINPIPE,9836.14
FINEORG,13377.87
FILATFASH,137.79
FIBERWEB,100.14
FELDVR,128.52
FISCHER,2653.3
FINKURVE,753.72
FIRSTCRY,10883.82
FEDERALBNK,65422.84
FLEXITUFF,20.99
FLFL,24.94
FORCEMOT,27836.17
FIVESTAR,10644.02
FMGOETZE,2323.75
FILATEX,1802.43
FOSECOIND,3502.82
FMNL,47.36
FINOPB,1013.9
FORTIS,59547.32
FOCUS,419.53
FLAIR,3119.7
FLUOROCHEM,35190.45
GABRIEL,12593.26
FSL,15052.84
GALAPREC,938.32
FOODSIN,400.89
FUSION,2386.61
GALLANTT,13460.69
GALAXYSURF,6054.23
GANESHCP,728.65
GANECOS,2973.1
GANGESSECU,116.14
GAIL,93188.6
GEECEE,507.29
GANESHBE,570.23
GANGAFORGE,35.86
GAEL,6437.44
GARFIBRES,5942.55
GANDHAR,1238.37
GAYAHWS,52.24
GATECH,55.85
GCSL,805.34
GANESHHOU,4553.77
GATECHDVR,58.91
GARUDA,1395.81
GATEWAY,2723.62
GEOJITFSL,1608.86
GANDHITUBE,982.67
GEMAROMA,795.05
GEEKAYWIRE,222.52
GENSOL,73.5
GENCON,247.19
GENUSPAPER,273.84
GICRE,66412.81
GENESYS,990.06
GKSL,818.16
GICL,435.39
GINNIFILA,312.11
GENUSPOWER,7247.03
GILLANDERS,182.61
GHCL,4175.65
GFLLIMITED,445.11
GICHSGFIN,764.01
GLOBECIVIL,234.93
GKENERGY,1879.51
GHCLTEXTIL,697.39
GIPCL,2019.1
GESHIP,20552.76
GILLETTE,24658.86
GLFL,14.71
GKWLIMITED,871.11
GLOTTIS,396.32
GLAND,27820.77
GLENMARK,59051.07
GLOBALE,10.87
GLAXO,39158.2
GLOBAL,506.37
GLOSTERLTD,580.32
GLOBALVECT,212.97
GLOBE,97.74
GNA,1594.02
GMDCLTD,18521.82
GODAVARIB,1597.46
GMMPFAUDLR,3827.89
GOCOLORS,1478.36
GNFC,5858.53
GLOBUSSPR,2507.54
CORALFINAC,113.06
GODREJPROP,45431.17
GOACARBON,280.03
GODREJIND,28355.6
GODREJAGRO,10966.57
GMRAIRPORT,93837.62
GMBREW,2410.69
GODFRYPHLP,29790.96
GMRP&UI,7716.45
GOCLCORP,1351.94
GPTINFRA,1320.0
GOKUL,378.16
GODIGIT,29651.13
GOKULAGRO,5706.68
GOLDTECH,187.08
GPIL,17957.34
GOPAL,3256.44
GODREJCP,101792.37
GOYALALUM,85.21
GOKEX,4452.33
GPPL,7040.62
GOLDIAM,3292.68
GPTHEALTH,1011.9
GRINFRA,8183.73
GOODLUCK,3476.08
GREAVESCOT,3077.13
GRASIM,173890.3
GRSE,25839.14
GRMOVER,3226.58
GREENPOWER,1088.34
GRINDWELL,15366.83
GREENPLY,2433.19
GRAVITA,9433.11
GRAPHITE,12467.85
GREENPANEL,2232.08
GREENLAM,5629.94
GSLSU,206.44
GRANULES,15204.82
GROWW,103401.42
GROBTEA,99.38
GRPLTD,1013.28
GTECJAINX,19.35
GTPL,677.93
GSPL,13464.79
GOLDENTOBC,38.37
GRWRHITECH,8610.94
GSS,31.72
GUJRAFFIA,
GSFC,6052.87
HARDWYN,991.71
GULFOILLUB,4392.65
GUJGASLTD,21209.3
GUJTHEM,2743.37
HARIOMPIPE,968.35
GTL,94.06
GVPTECH,101.57
GUJALKALI,4434.19
GUJAPOLLO,549.44
HALEOSLABS,389.31
GTLINFRA,1332.15
GVT&D,97866.11
GUFICBIO,2900.61
HAPPSTMNDS,5906.34
GULPOLY,937.05
HCC,4033.98
HAPPYFORGE,11214.5
GULFPETRO,139.91
GVKPIL,386.91
HAL,246577.34
GVPIL,2763.91
HAVISHA,41.77
HARRMALAYA,329.03
HARSHA,3040.22
HDIL,92.32
HBSL,32.93
HDFCAMC,100614.07
HEXT,27051.92
HATHWAY,1731.16
HAVELLS,74058.3
HEADSUP,15.39
HBLENGINE,18499.99
HATSUN,20093.01
HDFCBANK,1155882.84
HESTERBIO,1207.46
HDBFS,47927.38
HGM,64.15
HCL-INSYS,379.91
HDFCLIFE,122123.6
HCLTECH,379386.57
HEG,10613.76
HEIDELBERG,3320.29
HERITGFOOD,2899.8
HCG,7878.68
HIKAL,1985.04
HILTON,78.83
HILINFRA,336.46
HECPROJECT,105.99
HEXATRADEX,865.13
HGINFRA,3146.56
HINDCOMPOS,538.63
HEROMOTOCO,100274.99
HEMIPROP,3362.76
HERANBA,703.52
HINDWAREAP,1656.78
HINDCON,92.6
HFCL,10974.5
HINDALCO,204862.08
ICIL,
HOMEFIRST,
HMVL,
HPIL,
ICDSLTD,
HINDCOPPER,
ICICIGI,
HYUNDAI,
ICEMAKE,
ICICIBANK,
HONASA,
HGS,
HLEGLAS,
IBULLSLTD,
IDBI,
HUDCO,
HONDAPOWER,
ICICIPRULI,
HITECHGEAR,
HINDZINC,
HMT,
HIMATSEIDE,
HITECH,
HINDUNILVR,
HONAUT,
HINDOILEXP,
HPAL,
HISARMETAL,74.97
HLVLTD,506.31
HMAAGRO,1184.73
HIRECT,2382.53
HNDFDS,5862.81
HITECHCORP,228.87
HINDPETRO,69367.01
HSCL,22769.2
ICICIAMC,140581.95
HTMEDIA,487.29
INDGN,11357.39
HYBRIDFIN,52.74
IFBIND,3861.24
IGL,20502.37
IIFLCAPS,8137.54
IGCL,413.04
IKIO,940.48
INCREDIBLE,146.39
IKS,22495.18
HPL,1912.94
IFGLEXPOR,988.92
IL&FSTRANS,62.5
IDEA,92958.32
IGPL,1081.8
IMPEXFERRO,12.15
HUBTOWN,2638.35
HUHTAMAKI,1232.67
IMFA,6787.23
IIFL,18493.16
ICRA,4915.69
INDIAMART,12130.64
INDIASHLTR,8315.43
IMAGICAA,2357.94
IDFCFIRSTB,51799.43
IGIL,13844.24
IMPAL,1211.06
INDIANB,117147.01
IGARASHI,927.47
IDEAFORGE,1714.59
INDBANK,141.58
IEX,10620.02
IITL,297.76
INDIACEM,16685.62
IFBAGRO,709.28
INDIANCARD,100.06
INDIQUBE,3040.05
INDIGOPNTS,3659.58
IFCI,14150.35
INDIGO,162126.16
INDIANHUME,1659.95
IL&FSENGG,316.88
INDHOTEL,82950.51
INDNIPPON,1599.9
INDIAGLYCO,6013.21
INDOBORAX,793.47
INDOAMIN,702.99
INDORAMA,850.18
INDOCO,1728.66
INDTERRAIN,146.08
INFOMEDIA,26.38
INDOSTAR,3159.99
INDOTECH,1330.39
INDOFARM,596.8
INDRAMEDCO,3663.25
INFOBEAN,1377.11
INNOVANA,731.36
INDOWIND,124.78
INDUSTOWER,112039.46
INDUSINDBK,60668.99
INOXWIND,13755.92
INTERARCH,2990.42
INVENTURE,101.85
INOXINDIA,11275.55
INNOVACAP,4030.92
INOXGREEN,5807.85
INSECTICID,1771.19
INDOUS,211.49
INTELLECT,9127.36
INTENTECH,229.22
IONEXCHANG,4276.32
IOC,189408.18
INDOTHAI,3729.81
INDSWFTLAB,1203.99
INTLCONV,421.08
IOLCP,2274.3
IOB,63177.31
INGERRAND,11574.01
INSPIRISYS,296.87
IRIS,470.09
ISFT,101.74
ISGEC,6738.66
IREDA,32289.3
IRCTC,40944.0
IRFC,120044.41
IRISDOREME,534.74
IRB,26330.04
IRCON,11752.68
ITCHOTELS,30846.8
INFY,526382.7
IRMENERGY,758.82
IPL,1591.92
IPCALAB,37895.85
IVALUE,1192.25
ITDC,3479.66
ISHANCH,142.89
ITC,366925.48
IZMO,1015.88
ITI,24575.95
JAIBALAJI,5281.02
IVP,129.75
JAGSNPHARM,1248.22
IXIGO,7300.58
JAGRAN,1347.2
JAYKAY,1822.31
JAICORPLTD,1689.99
JARO,969.99
JBCHEPHARM,31487.17
JETFREIGHT,82.55
J&KBANK,12505.03
JAYSREETEA,225.39
JGCHEM,1321.75
JAIPURKURT,47.43
JAINREC,15993.0
JBMA,13289.18
JAYNECOIND,7670.75
JAYAGROGN,498.39
JAMNAAUTO,4639.12
JKIPL,218.69
JISLDVREQS,2655.47
JAYBARMARU,908.76
JNKINDIA,1385.98
JKTYRE,11221.94
JIOFIN,145791.89
JISLJALEQS,2162.36
JMA,184.37
JINDALPHOT,1093.08
IVC,221.26
JHS,69.57
JINDALSAW,12224.56
JKCEMENT,39951.55
JINDRILL,1398.44
JINDALPOLY,3381.84
JPOLYINVST,1131.19
JKPAPER,5987.86
JKIL,3445.03
JOCIL,91.09
JKLAKSHMI,7301.55
JINDALSTEL,115779.97
JLHL,8058.72
JITFINFRA,786.11
JINDWORLD,2020.62
JMFINANCIL,11490.79
JSFB,3925.45
JPPOWER,10293.03
JSWHL,13244.87
JSL,59134.86
JUBLCPL,2607.14
JSLL,7540.08
JSWSTEEL,278803.83
JUSTDIAL,4383.68
JUBLFOOD,29368.7
JSWINFRA,50283.96
JSWCEMENT,15519.44
JUNIPER,4533.93
JTLIND,1960.69
JYOTICNC,17593.45
JUBLINGREA,9156.15
KALPATARU,5921.06
